fecha,anño,mes,dia_semana,tienda,lambda,clientes
2023-01-01,2023,1,6,Santa Ana,8000,7968
2023-01-01,2023,1,6,La Floresta,5000,5049
2023-01-01,2023,1,6,Los Cedros,6000,5911
2023-01-01,2023,1,6,Palermo,4000,4018
2023-01-01,2023,1,6,Córdoba,6000,6085
2023-01-02,2023,1,0,Santa Ana,9000,8903
2023-01-02,2023,1,0,La Floresta,6000,5955
2023-01-02,2023,1,0,Los Cedros,7000,6984
2023-01-02,2023,1,0,Palermo,5000,5023
2023-01-02,2023,1,0,Córdoba,7000,6948
2023-01-03,2023,1,1,Santa Ana,10000,9988
2023-01-03,2023,1,1,La Floresta,7000,6920
2023-01-03,2023,1,1,Los Cedros,8000,8023
2023-01-03,2023,1,1,Palermo,6000,6024
2023-01-03,2023,1,1,Córdoba,8000,7948
2023-01-04,2023,1,2,Santa Ana,10500,10555
2023-01-04,2023,1,2,La Floresta,7500,7383
2023-01-04,2023,1,2,Los Cedros,8500,8433
2023-01-04,2023,1,2,Palermo,6500,6455
2023-01-04,2023,1,2,Córdoba,8500,8512
2023-01-05,2023,1,3,Santa Ana,10000,10202
2023-01-05,2023,1,3,La Floresta,7000,7023
2023-01-05,2023,1,3,Los Cedros,8000,7855
2023-01-05,2023,1,3,Palermo,6000,5813
2023-01-05,2023,1,3,Córdoba,8000,7971
2023-01-06,2023,1,4,Santa Ana,9000,9102
2023-01-06,2023,1,4,La Floresta,6000,5949
2023-01-06,2023,1,4,Los Cedros,7000,6897
2023-01-06,2023,1,4,Palermo,5000,5059
2023-01-06,2023,1,4,Córdoba,7000,7051
2023-01-07,2023,1,5,Santa Ana,8000,8075
2023-01-07,2023,1,5,La Floresta,5000,4971
2023-01-07,2023,1,5,Los Cedros,6000,6097
2023-01-07,2023,1,5,Palermo,4000,3969
2023-01-07,2023,1,5,Córdoba,6000,5957
2023-01-08,2023,1,6,Santa Ana,8000,8062
2023-01-08,2023,1,6,La Floresta,5000,5100
2023-01-08,2023,1,6,Los Cedros,6000,5894
2023-01-08,2023,1,6,Palermo,4000,4050
2023-01-08,2023,1,6,Córdoba,6000,6065
2023-01-09,2023,1,0,Santa Ana,9000,9006
2023-01-09,2023,1,0,La Floresta,6000,5958
2023-01-09,2023,1,0,Los Cedros,7000,7133
2023-01-09,2023,1,0,Palermo,5000,4982
2023-01-09,2023,1,0,Córdoba,7000,6930
2023-01-10,2023,1,1,Santa Ana,10000,9937
2023-01-10,2023,1,1,La Floresta,7000,7155
2023-01-10,2023,1,1,Los Cedros,8000,8034
2023-01-10,2023,1,1,Palermo,6000,6075
2023-01-10,2023,1,1,Córdoba,8000,8130
2023-01-11,2023,1,2,Santa Ana,10500,10600
2023-01-11,2023,1,2,La Floresta,7500,7454
2023-01-11,2023,1,2,Los Cedros,8500,8422
2023-01-11,2023,1,2,Palermo,6500,6583
2023-01-11,2023,1,2,Córdoba,8500,8478
2023-01-12,2023,1,3,Santa Ana,10000,9864
2023-01-12,2023,1,3,La Floresta,7000,7175
2023-01-12,2023,1,3,Los Cedros,8000,8005
2023-01-12,2023,1,3,Palermo,6000,5969
2023-01-12,2023,1,3,Córdoba,8000,8243
2023-01-13,2023,1,4,Santa Ana,9000,8999
2023-01-13,2023,1,4,La Floresta,6000,5950
2023-01-13,2023,1,4,Los Cedros,7000,7026
2023-01-13,2023,1,4,Palermo,5000,4842
2023-01-13,2023,1,4,Córdoba,7000,7133
2023-01-14,2023,1,5,Santa Ana,8000,7892
2023-01-14,2023,1,5,La Floresta,5000,5036
2023-01-14,2023,1,5,Los Cedros,6000,5938
2023-01-14,2023,1,5,Palermo,4000,3976
2023-01-14,2023,1,5,Córdoba,6000,6030
2023-01-15,2023,1,6,Santa Ana,8000,7856
2023-01-15,2023,1,6,La Floresta,5000,4963
2023-01-15,2023,1,6,Los Cedros,6000,6040
2023-01-15,2023,1,6,Palermo,4000,4002
2023-01-15,2023,1,6,Córdoba,6000,6032
2023-01-16,2023,1,0,Santa Ana,9000,9053
2023-01-16,2023,1,0,La Floresta,6000,6153
2023-01-16,2023,1,0,Los Cedros,7000,6961
2023-01-16,2023,1,0,Palermo,5000,5126
2023-01-16,2023,1,0,Córdoba,7000,6939
2023-01-17,2023,1,1,Santa Ana,10000,10102
2023-01-17,2023,1,1,La Floresta,7000,7007
2023-01-17,2023,1,1,Los Cedros,8000,7859
2023-01-17,2023,1,1,Palermo,6000,6118
2023-01-17,2023,1,1,Córdoba,8000,7958
2023-01-18,2023,1,2,Santa Ana,10500,10569
2023-01-18,2023,1,2,La Floresta,7500,7622
2023-01-18,2023,1,2,Los Cedros,8500,8538
2023-01-18,2023,1,2,Palermo,6500,6410
2023-01-18,2023,1,2,Córdoba,8500,8528
2023-01-19,2023,1,3,Santa Ana,10000,9850
2023-01-19,2023,1,3,La Floresta,7000,7011
2023-01-19,2023,1,3,Los Cedros,8000,8039
2023-01-19,2023,1,3,Palermo,6000,6049
2023-01-19,2023,1,3,Córdoba,8000,7954
2023-01-20,2023,1,4,Santa Ana,9000,9041
2023-01-20,2023,1,4,La Floresta,6000,6035
2023-01-20,2023,1,4,Los Cedros,7000,6868
2023-01-20,2023,1,4,Palermo,5000,4950
2023-01-20,2023,1,4,Córdoba,7000,7121
2023-01-21,2023,1,5,Santa Ana,8000,8083
2023-01-21,2023,1,5,La Floresta,5000,5015
2023-01-21,2023,1,5,Los Cedros,6000,5925
2023-01-21,2023,1,5,Palermo,4000,3958
2023-01-21,2023,1,5,Córdoba,6000,6033
2023-01-22,2023,1,6,Santa Ana,8000,8149
2023-01-22,2023,1,6,La Floresta,5000,4986
2023-01-22,2023,1,6,Los Cedros,6000,5953
2023-01-22,2023,1,6,Palermo,4000,4075
2023-01-22,2023,1,6,Córdoba,6000,5916
2023-01-23,2023,1,0,Santa Ana,9000,9186
2023-01-23,2023,1,0,La Floresta,6000,6015
2023-01-23,2023,1,0,Los Cedros,7000,7027
2023-01-23,2023,1,0,Palermo,5000,4913
2023-01-23,2023,1,0,Córdoba,7000,7112
2023-01-24,2023,1,1,Santa Ana,10000,10058
2023-01-24,2023,1,1,La Floresta,7000,6966
2023-01-24,2023,1,1,Los Cedros,8000,8088
2023-01-24,2023,1,1,Palermo,6000,6099
2023-01-24,2023,1,1,Córdoba,8000,8003
2023-01-25,2023,1,2,Santa Ana,10500,10596
2023-01-25,2023,1,2,La Floresta,7500,7552
2023-01-25,2023,1,2,Los Cedros,8500,8632
2023-01-25,2023,1,2,Palermo,6500,6471
2023-01-25,2023,1,2,Córdoba,8500,8520
2023-01-26,2023,1,3,Santa Ana,10000,9990
2023-01-26,2023,1,3,La Floresta,7000,6947
2023-01-26,2023,1,3,Los Cedros,8000,7721
2023-01-26,2023,1,3,Palermo,6000,6081
2023-01-26,2023,1,3,Córdoba,8000,7882
2023-01-27,2023,1,4,Santa Ana,9000,9079
2023-01-27,2023,1,4,La Floresta,6000,6027
2023-01-27,2023,1,4,Los Cedros,7000,6814
2023-01-27,2023,1,4,Palermo,5000,5008
2023-01-27,2023,1,4,Córdoba,7000,7004
2023-01-28,2023,1,5,Santa Ana,8000,8083
2023-01-28,2023,1,5,La Floresta,5000,4988
2023-01-28,2023,1,5,Los Cedros,6000,6086
2023-01-28,2023,1,5,Palermo,4000,3984
2023-01-28,2023,1,5,Córdoba,6000,5911
2023-01-29,2023,1,6,Santa Ana,8000,8012
2023-01-29,2023,1,6,La Floresta,5000,5033
2023-01-29,2023,1,6,Los Cedros,6000,6012
2023-01-29,2023,1,6,Palermo,4000,3985
2023-01-29,2023,1,6,Córdoba,6000,5968
2023-01-30,2023,1,0,Santa Ana,9000,8774
2023-01-30,2023,1,0,La Floresta,6000,6094
2023-01-30,2023,1,0,Los Cedros,7000,6994
2023-01-30,2023,1,0,Palermo,5000,4998
2023-01-30,2023,1,0,Córdoba,7000,6911
2023-01-31,2023,1,1,Santa Ana,10000,9971
2023-01-31,2023,1,1,La Floresta,7000,7033
2023-01-31,2023,1,1,Los Cedros,8000,7968
2023-01-31,2023,1,1,Palermo,6000,6001
2023-01-31,2023,1,1,Córdoba,8000,8041
2023-02-01,2023,2,2,Santa Ana,11000,10806
2023-02-01,2023,2,2,La Floresta,8000,8182
2023-02-01,2023,2,2,Los Cedros,9000,8970
2023-02-01,2023,2,2,Palermo,7000,6990
2023-02-01,2023,2,2,Córdoba,9000,9196
2023-02-02,2023,2,3,Santa Ana,10500,10401
2023-02-02,2023,2,3,La Floresta,7500,7369
2023-02-02,2023,2,3,Los Cedros,8500,8356
2023-02-02,2023,2,3,Palermo,6500,6351
2023-02-02,2023,2,3,Córdoba,8500,8606
2023-02-03,2023,2,4,Santa Ana,9500,9598
2023-02-03,2023,2,4,La Floresta,6500,6389
2023-02-03,2023,2,4,Los Cedros,7500,7532
2023-02-03,2023,2,4,Palermo,5500,5552
2023-02-03,2023,2,4,Córdoba,7500,7444
2023-02-04,2023,2,5,Santa Ana,8500,8570
2023-02-04,2023,2,5,La Floresta,5500,5473
2023-02-04,2023,2,5,Los Cedros,6500,6463
2023-02-04,2023,2,5,Palermo,4500,4582
2023-02-04,2023,2,5,Córdoba,6500,6561
2023-02-05,2023,2,6,Santa Ana,8500,8363
2023-02-05,2023,2,6,La Floresta,5500,5501
2023-02-05,2023,2,6,Los Cedros,6500,6457
2023-02-05,2023,2,6,Palermo,4500,4479
2023-02-05,2023,2,6,Córdoba,6500,6626
2023-02-06,2023,2,0,Santa Ana,9500,9448
2023-02-06,2023,2,0,La Floresta,6500,6684
2023-02-06,2023,2,0,Los Cedros,7500,7533
2023-02-06,2023,2,0,Palermo,5500,5454
2023-02-06,2023,2,0,Córdoba,7500,7544
2023-02-07,2023,2,1,Santa Ana,10500,10594
2023-02-07,2023,2,1,La Floresta,7500,7362
2023-02-07,2023,2,1,Los Cedros,8500,8308
2023-02-07,2023,2,1,Palermo,6500,6487
2023-02-07,2023,2,1,Córdoba,8500,8460
2023-02-08,2023,2,2,Santa Ana,11000,10872
2023-02-08,2023,2,2,La Floresta,8000,8030
2023-02-08,2023,2,2,Los Cedros,9000,8841
2023-02-08,2023,2,2,Palermo,7000,6848
2023-02-08,2023,2,2,Córdoba,9000,9058
2023-02-09,2023,2,3,Santa Ana,10500,10463
2023-02-09,2023,2,3,La Floresta,7500,7469
2023-02-09,2023,2,3,Los Cedros,8500,8579
2023-02-09,2023,2,3,Palermo,6500,6483
2023-02-09,2023,2,3,Córdoba,8500,8369
2023-02-10,2023,2,4,Santa Ana,9500,9294
2023-02-10,2023,2,4,La Floresta,6500,6389
2023-02-10,2023,2,4,Los Cedros,7500,7565
2023-02-10,2023,2,4,Palermo,5500,5700
2023-02-10,2023,2,4,Córdoba,7500,7445
2023-02-11,2023,2,5,Santa Ana,8500,8507
2023-02-11,2023,2,5,La Floresta,5500,5366
2023-02-11,2023,2,5,Los Cedros,6500,6530
2023-02-11,2023,2,5,Palermo,4500,4491
2023-02-11,2023,2,5,Córdoba,6500,6519
2023-02-12,2023,2,6,Santa Ana,8500,8278
2023-02-12,2023,2,6,La Floresta,5500,5491
2023-02-12,2023,2,6,Los Cedros,6500,6446
2023-02-12,2023,2,6,Palermo,4500,4493
2023-02-12,2023,2,6,Córdoba,6500,6519
2023-02-13,2023,2,0,Santa Ana,9500,9557
2023-02-13,2023,2,0,La Floresta,6500,6455
2023-02-13,2023,2,0,Los Cedros,7500,7547
2023-02-13,2023,2,0,Palermo,5500,5620
2023-02-13,2023,2,0,Córdoba,7500,7696
2023-02-14,2023,2,1,Santa Ana,10500,10533
2023-02-14,2023,2,1,La Floresta,7500,7665
2023-02-14,2023,2,1,Los Cedros,8500,8278
2023-02-14,2023,2,1,Palermo,6500,6471
2023-02-14,2023,2,1,Córdoba,8500,8525
2023-02-15,2023,2,2,Santa Ana,11000,11117
2023-02-15,2023,2,2,La Floresta,8000,7978
2023-02-15,2023,2,2,Los Cedros,9000,9112
2023-02-15,2023,2,2,Palermo,7000,6988
2023-02-15,2023,2,2,Córdoba,9000,9226
2023-02-16,2023,2,3,Santa Ana,10500,10414
2023-02-16,2023,2,3,La Floresta,7500,7529
2023-02-16,2023,2,3,Los Cedros,8500,8370
2023-02-16,2023,2,3,Palermo,6500,6505
2023-02-16,2023,2,3,Córdoba,8500,8505
2023-02-17,2023,2,4,Santa Ana,9500,9514
2023-02-17,2023,2,4,La Floresta,6500,6608
2023-02-17,2023,2,4,Los Cedros,7500,7390
2023-02-17,2023,2,4,Palermo,5500,5558
2023-02-17,2023,2,4,Córdoba,7500,7552
2023-02-18,2023,2,5,Santa Ana,8500,8384
2023-02-18,2023,2,5,La Floresta,5500,5468
2023-02-18,2023,2,5,Los Cedros,6500,6475
2023-02-18,2023,2,5,Palermo,4500,4604
2023-02-18,2023,2,5,Córdoba,6500,6503
2023-02-19,2023,2,6,Santa Ana,8500,8473
2023-02-19,2023,2,6,La Floresta,5500,5411
2023-02-19,2023,2,6,Los Cedros,6500,6498
2023-02-19,2023,2,6,Palermo,4500,4492
2023-02-19,2023,2,6,Córdoba,6500,6498
2023-02-20,2023,2,0,Santa Ana,9500,9537
2023-02-20,2023,2,0,La Floresta,6500,6357
2023-02-20,2023,2,0,Los Cedros,7500,7387
2023-02-20,2023,2,0,Palermo,5500,5408
2023-02-20,2023,2,0,Córdoba,7500,7411
2023-02-21,2023,2,1,Santa Ana,10500,10652
2023-02-21,2023,2,1,La Floresta,7500,7542
2023-02-21,2023,2,1,Los Cedros,8500,8409
2023-02-21,2023,2,1,Palermo,6500,6412
2023-02-21,2023,2,1,Córdoba,8500,8403
2023-02-22,2023,2,2,Santa Ana,11000,10858
2023-02-22,2023,2,2,La Floresta,8000,7917
2023-02-22,2023,2,2,Los Cedros,9000,9001
2023-02-22,2023,2,2,Palermo,7000,7031
2023-02-22,2023,2,2,Córdoba,9000,9125
2023-02-23,2023,2,3,Santa Ana,10500,10294
2023-02-23,2023,2,3,La Floresta,7500,7584
2023-02-23,2023,2,3,Los Cedros,8500,8406
2023-02-23,2023,2,3,Palermo,6500,6470
2023-02-23,2023,2,3,Córdoba,8500,8531
2023-02-24,2023,2,4,Santa Ana,9500,9490
2023-02-24,2023,2,4,La Floresta,6500,6278
2023-02-24,2023,2,4,Los Cedros,7500,7555
2023-02-24,2023,2,4,Palermo,5500,5502
2023-02-24,2023,2,4,Córdoba,7500,7374
2023-02-25,2023,2,5,Santa Ana,8500,8508
2023-02-25,2023,2,5,La Floresta,5500,5448
2023-02-25,2023,2,5,Los Cedros,6500,6427
2023-02-25,2023,2,5,Palermo,4500,4409
2023-02-25,2023,2,5,Córdoba,6500,6521
2023-02-26,2023,2,6,Santa Ana,8500,8583
2023-02-26,2023,2,6,La Floresta,5500,5378
2023-02-26,2023,2,6,Los Cedros,6500,6520
2023-02-26,2023,2,6,Palermo,4500,4487
2023-02-26,2023,2,6,Córdoba,6500,6448
2023-02-27,2023,2,0,Santa Ana,9500,9541
2023-02-27,2023,2,0,La Floresta,6500,6524
2023-02-27,2023,2,0,Los Cedros,7500,7370
2023-02-27,2023,2,0,Palermo,5500,5442
2023-02-27,2023,2,0,Córdoba,7500,7413
2023-02-28,2023,2,1,Santa Ana,10500,10391
2023-02-28,2023,2,1,La Floresta,7500,7351
