mes,promedio,limite_inferior_95,limite_superior_95,limite_inferior_99,limite_superior_99
1,9748.021505376344,7981.2,11500.0,7872.56,11680.2
2,10207.423529411764,8392.9,11846.3,8313.7,12094.4
3,10669.52688172043,8935.6,12488.7,8890.82,12559.66
4,10715.711111111112,8891.875,12499.5,8834.69,12593.804999999998
5,11225.935483870968,9410.0,12893.8,9379.26,12949.98
6,11197.655555555555,9567.675,12953.4,9483.605,13116.15
7,11751.63440860215,9910.2,13550.300000000001,9860.18,13593.4
8,11208.989247311827,9467.5,13023.5,9383.28,13245.5
9,11206.377777777778,9514.35,12982.65,9452.455,13131.094999999998
10,10751.47311827957,8966.5,12451.1,8810.5,12533.54
11,10191.377777777778,8445.075,11847.85,8350.165,11929.539999999999
12,9700.139784946237,7927.5,11535.3,7829.36,11602.6
